ProviderID,NPI_Number,ProviderName,Specialty,DepartmentID
PROV_0001,4529615275,Dr. Maria Hernandez,Pediatrics,DEPT_009
PROV_0002,1284277889,Dr. Charles Hernandez,Internal Medicine,DEPT_021
PROV_0003,7439149233,Dr. Rahul Anderson,ICU Critical Care,DEPT_009
PROV_0004,1599707677,Dr. Ananya Moore,Oncology,DEPT_009
PROV_0005,7801222128,Dr. Barbara Davis,ICU Critical Care,DEPT_017
PROV_0006,3119634399,Dr. Carlos Johnson,Emergency Medicine,DEPT_005
PROV_0007,3694860228,Dr. Maria Sharma,Pediatrics,DEPT_020
PROV_0008,5567816720,Dr. Richard Mehta,General Surgery,DEPT_017
PROV_0009,5047709743,Dr. Priya Brown,Oncology,DEPT_025
PROV_0010,8047877267,Dr. Patricia Martinez,Pediatrics,DEPT_006
PROV_0011,2948728483,Dr. Ananya Rodriguez,Oncology,DEPT_025
PROV_0012,4919706735,Dr. Rahul Martinez,Oncology,DEPT_020
PROV_0013,1854316681,Dr. Barbara Garcia,Oncology,DEPT_025
PROV_0014,4944899549,Dr. Karen Hernandez,General Surgery,DEPT_001
PROV_0015,8760038701,Dr. Linda Johnson,Internal Medicine,DEPT_019
PROV_0016,5067116918,Dr. John Thomas,Emergency Medicine,DEPT_025
PROV_0017,1540137296,Dr. Priya Thomas,Oncology,DEPT_006
PROV_0018,6633778586,Dr. Priya Patel,Neurology,DEPT_015
PROV_0019,2939118223,Dr. Linda Davis,Emergency Medicine,DEPT_011
PROV_0020,9680276057,Dr. Sarah Davis,Internal Medicine,DEPT_001
PROV_0021,9894847574,Dr. Rahul Johnson,Internal Medicine,DEPT_003
PROV_0022,4888749350,Dr. David Williams,Oncology,DEPT_008
PROV_0023,3084839399,Dr. Sarah Jones,General Surgery,DEPT_008
PROV_0024,8664882079,Dr. Maria Wilson,Internal Medicine,DEPT_004
PROV_0025,7146318035,Dr. Susan Wilson,General Surgery,DEPT_024
PROV_0026,9822598054,Dr. Rahul Patel,Emergency Medicine,DEPT_002
